Player,Nation,Pos,Squad,Comp,Age,MP,Min,TklW,Int,Clr,Blocks,Carries,PrgDist,FinalThird,Ast,KP,CrsPA
Charlie Cresswell,eng ENG,DF,Toulouse,fr Ligue 1,23-269,29,2533,14,30,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
Bryan Cristante,it ITA,MF,Roma,it Serie A,31-071,35,2914,39,28,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
Juan Cruz Armada,es ESP,DF,Osasuna,es La Liga,33-289,15,649,3,4,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Juan Cuadrado,co COL,MF,Pisa,it Serie A,37-352,17,465,9,5,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Pau Cubarsí,es ESP,DF,Barcelona,es La Liga,19-111,30,2642,26,30,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Miguel Cubo,es ESP,FW,Atlético Madrid,es La Liga,18-094,2,50,2,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Cucho,co COL,FW,Real Betis,es La Liga,27-023,31,2490,16,11,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0
Marc Cucurella,es ESP,DF,Chelsea,eng Premier League,27-295,32,2527,37,27,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0
Jorge Cuenca,es ESP,DF,Fulham,eng Premier League,26-177,14,933,10,15,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Montrell Culbreath,de GER,"MF,DF",Leverkusen,de Bundesliga,18-257,11,675,13,7,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Josh Cullen,ie IRL,MF,Burnley,eng Premier League,30-036,18,1514,19,24,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
Pablo Cuñat,es ESP,GK,Levante,es La Liga,24-015,2,180,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Jair Cunha,br BRA,DF,Nottingham Forest,eng Premier League,21-067,7,448,5,4,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Matheus Cunha,br BRA,"MF,FW",Manchester Utd,eng Premier League,26-351,32,2415,22,21,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
Patrick Cutrone,it ITA,FW,Parma,it Serie A,28-130,15,888,1,3,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Lucas Da Cunha,fr FRA,MF,Como,it Serie A,24-338,34,2559,30,16,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0
Adam Daghim,dk DEN,"MF,FW",Wolfsburg,de Bundesliga,20-227,26,1277,20,11,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0
Finn Dahmen,de GER,GK,Augsburg,de Bundesliga,28-047,33,2970,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Mahmoud Dahoud,de GER,"MF,FW",Eintracht Frankfurt,de Bundesliga,30-132,14,685,8,9,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0
David Daiber,pt POR,FW,Bayern Munich,de Bundesliga,19-123,2,29,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Ameen Al-Dakhil,be BEL,DF,Stuttgart,de Bundesliga,24-068,8,380,3,5,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Thijs Dallinga,nl NED,FW,Bologna,it Serie A,25-283,21,786,4,1,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
Diogo Dalot,pt POR,"DF,MF",Manchester Utd,eng Premier League,27-056,33,2524,29,25,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0
Muhammed Damar,de GER,"MF,FW",Hoffenheim,de Bundesliga,22-034,15,277,3,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Mikkel Damsgaard,dk DEN,MF,Brentford,eng Premier League,25-314,31,1956,33,24,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0
Arnaut Danjuma,nl NED,"MF,FW",Valencia,es La Liga,29-102,30,1628,10,2,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
Kévin Danois,fr FRA,MF,Auxerre,fr Ligue 1,21-319,32,2740,46,37,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
Kevin Danso,at AUT,DF,Tottenham Hotspur,eng Premier League,27-236,22,1314,13,19,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Dante,br BRA,DF,Nice,fr Ligue 1,42-207,11,759,5,10,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
Bence Dárdai,hu HUN,MF,Wolfsburg,de Bundesliga,20-109,1,35,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Aiman Dardari,lu LUX,MF,Augsburg,de Bundesliga,21-053,3,34,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Sergi Darder,es ESP,MF,Mallorca,es La Liga,32-142,35,2435,12,21,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0
Karl Darlow,wls WAL,GK,Leeds United,eng Premier League,35-217,20,1800,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Matteo Darmian,it ITA,MF,Inter,it Serie A,36-162,5,185,2,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Josh Dasilva,eng ENG,MF,Brentford,eng Premier League,27-202,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
David Datro Fofana,ci CIV,FW,Strasbourg,fr Ligue 1,23-142,5,171,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Juan David Cabal,co COL,MF,Juventus,it Serie A,25-125,12,296,5,4,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Jonathan David,ca CAN,FW,Juventus,it Serie A,26-119,34,1752,10,6,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0
Alphonso Davies,ca CAN,DF,Bayern Munich,de Bundesliga,25-192,13,525,6,3,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0
Ben Davies,wls WAL,DF,Tottenham Hotspur,eng Premier League,33-019,3,137,4,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Davinchi,es ESP,DF,Getafe,es La Liga,18-209,11,633,15,7,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Keinan Davis,eng ENG,FW,Udinese,it Serie A,28-089,28,1916,5,1,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0
Kevin De Bruyne,be BEL,MF,Napoli,it Serie A,34-319,16,1052,6,5,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
Mathys De Carvalho,fr FRA,MF,Lyon,fr Ligue 1,21-012,11,295,6,4,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Maxim De Cuyper,be BEL,"DF,MF",Brighton,eng Premier League,25-142,28,1280,10,9,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0
