Player,Nation,Pos,Squad,Comp,Age,MP,Min,TklW,Int,Clr,Blocks,Carries,PrgDist,FinalThird,Ast,KP,CrsPA
Yerry Mina,co COL,DF,Cagliari,it Serie A,31-232,24,1970,17,23,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Tyrone Mings,eng ENG,DF,Aston Villa,eng Premier League,33-061,16,1234,2,10,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Juan Miranda,es ESP,DF,Bologna,it Serie A,26-114,30,2393,30,32,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0
Maximilian Mittelstädt,de GER,"DF,MF",Stuttgart,de Bundesliga,29-056,31,2114,42,33,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0
Branimir Mlacic,hr CRO,DF,Udinese,it Serie A,19-062,6,155,3,2,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Johan Mojica,co COL,DF,Mallorca,es La Liga,33-265,34,2640,30,23,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0
Nahuel Molina,ar ARG,"DF,MF",Atlético Madrid,es La Liga,28-037,26,1331,24,14,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
Jorge Montes,es ESP,DF,Getafe,es La Liga,22-068,1,27,2,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Morato,br BRA,DF,Nottingham Forest,eng Premier League,24-317,19,1165,16,9,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Alberto Moreno,es ESP,DF,Como,it Serie A,33-312,17,1068,10,7,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
Álex Moreno,es ESP,DF,Girona,es La Liga,32-339,28,2289,23,25,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0
Matias Moreno,ar ARG,DF,Levante,es La Liga,22-231,26,2072,25,32,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Mateu Morey,es ESP,"DF,MF",Mallorca,es La Liga,26-072,18,704,8,6,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Cristhian Mosquera,es ESP,DF,Arsenal,eng Premier League,21-320,18,814,19,8,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Yerson Mosquera,co COL,DF,Wolves,eng Premier League,25-011,25,1956,33,22,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Santiago Mouriño,uy URU,DF,Villarreal,es La Liga,24-089,26,2197,61,27,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
Tarik Muharemovic,ba BIH,DF,Sassuolo,it Serie A,23-074,31,2745,24,45,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
Miro Muheim,ch SUI,"MF,DF",Hamburger SV,de Bundesliga,28-050,28,2407,35,27,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0
Nordi Mukiele,fr FRA,DF,Sunderland,eng Premier League,28-193,30,2604,44,33,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0
Abdul Mumin,gh GHA,DF,Rayo Vallecano,es La Liga,27-341,1,10,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Aihen Muñoz,es ESP,DF,Real Sociedad,es La Liga,28-270,19,769,17,5,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Murillo,br BRA,DF,Nottingham Forest,eng Premier League,23-313,25,2130,23,29,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Alex Murphy,ie IRL,DF,Newcastle United,eng Premier League,21-322,1,2,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Joel Mvuka,no NOR,"MF,DF",Lorient,fr Ligue 1,23-182,15,560,13,6,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Junior Mwanga,fr FRA,"DF,MF",Strasbourg,fr Ligue 1,23-002,5,377,8,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Vitaliy Mykolenko,ua UKR,DF,Everton,eng Premier League,26-349,31,2778,24,27,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
Joakim Mæhle,dk DEN,"MF,DF",Wolfsburg,de Bundesliga,28-358,15,1132,21,19,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
David Møller Wolfe,no NOR,"MF,DF",Wolves,eng Premier League,24-020,20,892,5,6,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
Obite N'Dicka,ci CIV,DF,Roma,it Serie A,26-266,30,2644,16,43,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Stanley N'Soki,fr FRA,"DF,MF",Union Berlin,de Bundesliga,27-034,13,816,9,18,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
Mahamadou Nagida,cm CMR,DF,Rennes,fr Ligue 1,20-319,18,715,10,19,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Shafiq Nandja,de GER,DF,Hamburger SV,de Bundesliga,19-118,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Natan,br BRA,DF,Real Betis,es La Liga,25-096,31,2639,17,35,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Pau Navarro,es ESP,DF,Villarreal,es La Liga,21-018,21,1741,35,18,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Corrie Ndaba,ie IRL,DF,Lecce,it Serie A,26-139,14,543,4,3,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Kosta Nedeljković,rs SRB,DF,RB Leipzig,de Bundesliga,20-148,5,251,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Loïc Nego,hu HUN,"DF,MF",Le Havre,fr Ligue 1,35-118,29,2321,36,32,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Victor Nelsson,dk DEN,DF,Hellas Verona,it Serie A,27-211,36,3135,42,73,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Luca Netz,de GER,"MF,DF",Gladbach,de Bundesliga,22-363,15,940,10,7,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
Luca Netz,de GER,"MF,DF",Nottingham Forest,eng Premier League,22-363,5,246,8,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Cenny Neumann,de GER,DF,Köln,de Bundesliga,19-121,2,74,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Mikayil Ngor Faye,sn SEN,"MF,DF",Cremonese,it Serie A,21-303,8,254,6,5,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Nathan Ngoy,be BEL,DF,Lille,fr Ligue 1,22-337,28,2315,20,36,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
Moussa Niakhate,sn SEN,DF,Lyon,fr Ligue 1,30-066,31,2669,22,32,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
Abdoulaye Niakhate Ndiaye,sn SEN,DF,Parma,it Serie A,24-033,10,750,10,11,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Tanguy Nianzou,fr FRA,DF,Sevilla,es La Liga,23-340,12,655,10,4,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Samuel Nibombé,be BEL,DF,Monaco,fr Ligue 1,18-271,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Rasmus Nicolaisen,dk DEN,DF,Toulouse,fr Ligue 1,29-058,32,2564,16,40,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Oliver Nielsen,dk DEN,DF,Lazio,it Serie A,22-343,24,1401,5,13,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Niels Nkounkou,fr FRA,"MF,DF",Torino,it Serie A,25-193,10,327,9,8,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
Tochukwu Nnadi,ng NGA,"MF,DF",Marseille,fr Ligue 1,22-317,7,270,2,2,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
Brooke Norton-Cuffy,eng ENG,"MF,DF",Genoa,it Serie A,22-121,26,2181,30,11,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
Matheus Nunes,pt POR,DF,Manchester City,eng Premier League,27-259,32,2715,41,28,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0
Álvaro Núñez,es ESP,"DF,MF",Elche,es La Liga,25-310,19,1647,15,15,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
Álvaro Núñez,es ESP,"DF,MF",Celta Vigo,es La Liga,25-310,6,328,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Unai Núñez,es ESP,DF,Hellas Verona,it Serie A,29-103,17,1265,18,23,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Unai Núñez,es ESP,DF,Valencia,es La Liga,29-103,10,680,9,7,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Allan Nyom,cm CMR,DF,Getafe,es La Liga,38-003,12,300,5,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Jake O'Brien,ie IRL,DF,Everton,eng Premier League,24-363,35,2972,30,13,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
Luke O'Nien,eng ENG,DF,Sunderland,eng Premier League,31-173,10,411,4,5,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
